DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Jul-2026,Rank_Jul-2026
berkeley-db,berkeley-db,oracle-berkeley-db,RepoExactManual:Normal,Y_auto,Oracle Berkeley DB,"Key-value,Document",,"Custom API,SQL,PL/SQL",Embedded,Sleepycat Software#dbdbio>|<dbengines#Oracle,US,1994,2020,"Commercial,Open Source","AGPL v3,Apache v2; commercial license available",berkeleydb/libdb,2380364,Y,1.54,150
beryldb,beryldb,,X_Single,Y_auto,BerylDB,Key-value,C++,Custom API,,Beryl Labs,CL,2021,2023,"Hobby,Open Source",BSD License,beryldb/beryldb,,Y,,
bigchaindb,bigchaindb,bigchaindb,Normal,Y_auto,BigchainDB,"Key-value,Document",Python,HTTP / REST,Shared-Nothing,BigchainDB,DE,2015#dbdbio>|<dbengines#2016,2022,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#AGPL v3,bigchaindb/bigchaindb,51290852,Y,0.68,219
binaryrage,binaryrage,,X_Single,Y_auto,BinaryRage,Key-value,C#,Custom API,Embedded,Michael Christensen,DK,2012,2016,"Hobby,Open Source",,mchidk/BinaryRage,5494148,Y,,
bitcask,bitcask,,X_Single,Y_auto,Bitcask,Key-value,Go,Custom API,Embedded,James Mills,AU,2019,2023,Open Source,MIT License,basho/bitcask,632037,Y,,
bitsy,bitsy,,X_Single,Y_auto,Bitsy,Graph,Java,Gremlin,Embedded,LambdaZen,US,2013,,Open Source,Apache v2,lambdazen/bitsy,85236158,Y,,
blackray,blackray,,X_Single,Y_auto,BlackRay,Relational,C++,SQL,Shared-Everything,"SoftMethod, Deutsche Telekom",DE,2005,2013,"Commercial,Open Source",GPL v2,-,,Y,,
blazegraph,blazegraph,blazegraph,Normal,Y_auto,Blazegraph,"Graph,RDF",Java,SPARQL,Shared-Nothing,Systap B.V.,US,2006,2022#dbdbio>|<dbengines#2019,"Commercial,Open Source",GPL v2#dbdbio>|<dbengines#extended commercial license available,blazegraph/database,48451041,Y,0.7,216
blazingsql,blazingsql,,X_Single,Y_auto,BlazingSQL,Relational,C++,SQL,Shared-Nothing,BlazingDB,PE,2015,2021,"Commercial,Open Source","Apache v2,Proprietary",BlazingDB/blazingsql,150149024,Y,,
bleve,bleve,,X_Single,Y_auto,Bleve,"Document,Vector",Go,Custom API,Embedded,"Couchbase, Inc.",US,2014,,Open Source,Apache v2,blevesearch/bleve,18893367,Y,,
blinkdb,blinkdb,,X_Single,Y_auto,BlinkDB,Relational,,SQL,Shared-Disk,"University of California-Berkeley, Massachusetts Institute of Technology",US,2012,2014,"Academic,Open Source",Apache v2,sameeragarwal/blinkdb,2529750,Y,,
